BEAT,SPEAKER,TEXT,TRAUMA_R,ENTROPY_H,BASELINE_B,ARRHYTHMIA_α,NEO_RIEMANNIAN_OP,CLINICAL_HEALTH_SCORE
112,PRIEST,"And now, O Oedipus, our peerless king,",0.02,0.3,0.98,0.2,R,9/10
113,PRIEST,"All we thy votaries beseech thee, find",0.02,0.3,0.98,0.2,R,9/10
114,PRIEST,"Some succor, whether by a voice from heaven",0.02,0.3,0.98,0.2,R,9/10
115,PRIEST,"Whispered, or haply known by human wit.",0.02,0.3,0.98,0.2,R,9/10
116,PRIEST,"Tried counselors, methinks, are aptest found1",0.02,0.3,0.98,0.2,R,9/10
117,PRIEST,To furnish for the future pregnant rede.,0.02,0.3,0.98,0.2,R,9/10
118,PRIEST,"Upraise, O chief of men, upraise our State!",0.02,0.45,0.98,0.2,R,9/10
119,PRIEST,Look to thy laurels! for thy zeal of yore,0.02,0.45,0.98,0.2,R,9/10
120,PRIEST,Our country’s savior thou art justly hailed:,0.02,0.3,0.98,0.2,R,9/10
121,PRIEST,O never may we thus record thy reign:—,0.02,0.3,0.98,0.2,R,9/10
122,PRIEST,“He raised us up only to cast us down.”,0.02,0.3,0.98,0.2,R,9/10
123,PRIEST,"Uplift us, build our city on a rock.",0.02,0.3,0.98,0.2,R,9/10
124,PRIEST,"Thy happy star ascendant brought us luck,",0.02,0.3,0.98,0.2,R,9/10
125,PRIEST,O let it not decline! If thou wouldst rule,0.02,0.45,0.98,0.2,R,9/10
126,PRIEST,"This land, as now thou reignest, better sure",0.02,0.3,0.98,0.2,R,9/10
127,PRIEST,To rule a peopled than a desert realm.,0.02,0.3,0.98,0.2,R,9/10
128,PRIEST,"Nor battlements nor galleys aught avail,",0.02,0.3,0.97,0.2,R,9/10
129,PRIEST,If men to man and guards to guard them tail.,0.02,0.3,0.97,0.2,R,9/10
130,OEDIPUS,"Ah! my poor children, known, ah, known too well,",0.02,0.45,0.97,0.7,R,9/10
131,OEDIPUS,The quest that brings you hither and your need.,0.02,0.3,0.97,0.2,R,9/10
132,OEDIPUS,"Ye sicken all, well wot I, yet my pain,",0.02,0.3,0.97,0.2,R,9/10
133,OEDIPUS,"How great soever yours, outtops it all.",0.02,0.3,0.97,0.2,R,9/10
134,OEDIPUS,"Your sorrow touches each man severally,",0.02,0.3,0.97,0.2,R,9/10
135,OEDIPUS,"Him and none other, but I grieve at once",0.02,0.3,0.97,0.2,R,9/10
136,OEDIPUS,Both for the general and myself and you.,0.02,0.3,0.97,0.2,R,9/10
137,OEDIPUS,Therefore ye rouse no sluggard from day-dreams.,0.02,0.3,0.97,0.2,R,9/10
138,OEDIPUS,"Many, my children, are the tears I’ve wept,",0.02,0.3,0.97,0.2,R,9/10
139,OEDIPUS,And threaded many a maze of weary thought.,0.02,0.3,0.97,0.2,R,9/10
140,OEDIPUS,"Thus pondering one clue of hope I caught,",0.02,0.3,0.97,0.2,R,9/10
141,OEDIPUS,"And tracked it up; I have sent Menoeceus’ son,",0.02,0.3,0.97,0.2,R,9/10
142,OEDIPUS,"Creon, my consort’s brother, to inquire",0.02,0.3,0.97,0.2,R,9/10
143,OEDIPUS,"Of Pythian Phoebus at his Delphic shrine,",0.02,0.3,0.97,0.2,R,9/10
144,OEDIPUS,How I might save the State by act or word.,0.02,0.3,0.97,0.2,R,9/10
145,OEDIPUS,And now I reckon up the tale of days,0.02,0.3,0.97,0.2,R,9/10
146,OEDIPUS,"Since he set forth, and marvel how he fares.",0.02,0.3,0.97,0.2,R,9/10
147,OEDIPUS,"’Tis strange, this endless tarrying, passing strange.",0.02,0.3,0.97,0.2,R,9/10
148,OEDIPUS,"But when he comes, then I were base indeed,",0.02,0.3,0.97,0.2,R,9/10
149,OEDIPUS,If I perform not all the god declares.,0.02,0.3,0.97,0.2,R,9/10
150,PRIEST,Thy words are well timed; even as thou speakest,0.02,0.3,0.97,0.7,R,9/10
151,PRIEST,That shouting tells me Creon is at hand.,0.02,0.3,0.97,0.2,R,9/10
152,OEDIPUS,O King Apollo! may his joyous looks,0.02,0.45,0.97,0.7,R,9/10
153,OEDIPUS,Be presage of the joyous news he brings!,0.02,0.45,0.97,0.2,R,9/10
154,PRIEST,"As I surmise, ’tis welcome; else his head",0.02,0.3,0.97,0.7,R,9/10
155,PRIEST,Had scarce been crowned with berry-laden bays.,0.02,0.3,0.97,0.2,R,9/10
156,OEDIPUS,We soon shall know; he’s now in earshot range.,0.02,0.3,0.97,0.7,R,9/10
157,OEDIPUS,"My royal cousin, say, Menoeceus’ child,",0.02,0.3,0.97,0.2,R,9/10
158,OEDIPUS,What message hast thou brought us from the god?,0.02,0.5,0.97,0.2,R,9/10
159,CREON,"Good news, for e’en intolerable ills,",0.02,0.3,0.97,0.7,R,9/10
160,CREON,"Finding right issue, tend to naught but good.",0.03,0.3,0.97,0.2,R,9/10
161,OEDIPUS,How runs the oracle? thus far thy words,0.03,0.5,0.97,0.7,R,9/10
162,OEDIPUS,Give me no ground for confidence or fear.,0.03,0.3,0.97,0.2,R,9/10
163,CREON,"If thou wouldst hear my message publicly,",0.03,0.3,0.97,0.7,R,9/10
164,CREON,"I’ll tell thee straight, or with thee pass within.",0.03,0.3,0.97,0.2,R,9/10
165,OEDIPUS,Speak before all; the burden that I bear,0.03,0.3,0.97,0.7,R,9/10
166,OEDIPUS,Is more for these my subjects than myself.,0.03,0.3,0.97,0.2,R,9/10
167,CREON,Let me report then all the god declared.,0.03,0.3,0.97,0.7,R,9/10
168,CREON,King Phoebus bids us straitly extirpate,0.03,0.3,0.97,0.2,R,9/10
169,CREON,"A fell pollution that infests the land,",0.03,0.3,0.97,0.2,R,9/10
170,CREON,And no more harbor an inveterate sore.,0.03,0.3,0.97,0.2,R,9/10
171,OEDIPUS,What expiation means he? What’s amiss?,0.03,0.7,0.97,0.7,R,9/10
172,CREON,"Banishment, or the shedding blood for blood.",0.13,0.3,0.97,0.7,R,8/10
173,CREON,This stain of blood makes shipwreck of our state.,0.13,0.3,0.97,0.2,R,8/10
174,OEDIPUS,"Whom can he mean, the miscreant thus denounced?",0.03,0.5,0.97,0.7,R,9/10
175,CREON,"Before thou didst assume the helm of State,",0.03,0.3,0.97,0.7,R,9/10
176,CREON,The sovereign of this land was Laius.,0.03,0.3,0.97,0.2,R,9/10
177,OEDIPUS,"I heard as much, but never saw the man.",0.03,0.3,0.97,0.7,R,9/10
178,CREON,He fell; and now the god’s command is plain:,0.03,0.3,0.97,0.7,R,9/10
179,CREON,"Punish his takers-off, whoe’er they be.",0.03,0.3,0.96,0.2,R,9/10
180,OEDIPUS,Where are they? Where in the wide world to find,0.03,0.5,0.96,0.7,R,9/10
181,OEDIPUS,"The far, faint traces of a bygone crime?",0.03,0.5,0.96,0.2,R,9/10
182,CREON,"In this land, said the god; “who seeks shall find;",0.03,0.3,0.96,0.7,R,9/10
183,CREON,Who sits with folded hands or sleeps is blind.”,0.03,0.3,0.96,0.2,R,9/10
184,OEDIPUS,"Was he within his palace, or afield,",0.03,0.3,0.96,0.7,R,9/10
185,OEDIPUS,"Or traveling, when Laius met his fate?",0.03,0.5,0.96,0.2,R,9/10
186,CREON,"Abroad; he started, so he told us, bound",0.03,0.3,0.96,0.7,R,9/10
187,CREON,"For Delphi, but he never thence returned.",0.03,0.3,0.96,0.2,R,9/10
188,OEDIPUS,"Came there no news, no fellow-traveler",0.03,0.3,0.96,0.7,R,9/10
189,OEDIPUS,To give some clue that might be followed up?,0.03,0.5,0.96,0.2,R,9/10
190,CREON,"But one escape, who flying for dear life,",0.03,0.3,0.96,0.7,R,9/10
191,CREON,Could tell of all he saw but one thing sure.,0.03,0.3,0.96,0.2,R,9/10
192,OEDIPUS,"And what was that? One clue might lead us far,",0.03,0.5,0.96,0.7,R,9/10
193,OEDIPUS,With but a spark of hope to guide our quest.,0.03,0.3,0.96,0.2,R,9/10
194,CREON,"Robbers, he told us, not one bandit but",0.03,0.3,0.96,0.7,R,9/10
195,CREON,"A troop of knaves, attacked and murdered him.",0.13,0.3,0.96,0.2,R,8/10
196,OEDIPUS,"Did any bandit dare so bold a stroke,",0.03,0.3,0.96,0.7,R,9/10
197,OEDIPUS,Unless indeed he were suborned from Thebes?,0.03,0.5,0.96,0.2,R,9/10
198,CREON,"So ’twas surmised, but none was found to avenge",0.03,0.3,0.96,0.7,R,9/10
199,CREON,His murder mid the trouble that ensued.,0.13,0.3,0.96,0.2,R,8/10
200,OEDIPUS,"What trouble can have hindered a full quest,",0.03,0.3,0.96,0.7,R,9/10
201,OEDIPUS,When royalty had fallen thus miserably?,0.03,0.5,0.96,0.2,R,9/10
202,CREON,The riddling Sphinx compelled us to let slide,0.03,0.3,0.96,0.7,R,9/10
203,CREON,The dim past and attend to instant needs.,0.03,0.3,0.96,0.2,R,9/10
204,OEDIPUS,"Well, _I_ will start afresh and once again",0.03,0.3,0.96,0.7,R,9/10
205,OEDIPUS,Make dark things clear. Right worthy the concern,0.03,0.3,0.96,0.2,R,9/10
206,OEDIPUS,"Of Phoebus, worthy thine too, for the dead;",0.03,0.3,0.96,0.2,R,9/10
207,OEDIPUS,"I also, as is meet, will lend my aid",0.03,0.3,0.96,0.2,R,9/10
208,OEDIPUS,To avenge this wrong to Thebes and to the god.,0.03,0.3,0.96,0.2,R,9/10
209,OEDIPUS,"Not for some far-off kinsman, but myself,",0.03,0.3,0.96,0.2,R,9/10
210,OEDIPUS,Shall I expel this poison in the blood;,0.13,0.3,0.96,0.2,R,8/10
211,OEDIPUS,For whoso slew that king might have a mind,0.03,0.3,0.96,0.2,R,9/10
212,OEDIPUS,To strike me too with his assassin hand.,0.03,0.3,0.96,0.2,R,9/10
213,OEDIPUS,Therefore in righting him I serve myself.,0.03,0.3,0.96,0.2,R,9/10
214,OEDIPUS,"Up, children, haste ye, quit these altar stairs,",0.03,0.3,0.96,0.2,R,9/10
215,OEDIPUS,"Take hence your suppliant wands, go summon hither",0.03,0.3,0.96,0.2,R,9/10
216,OEDIPUS,The Theban commons. With the god’s good help,0.03,0.3,0.96,0.2,R,9/10
217,OEDIPUS,Success is sure; ’tis ruin if we fail.,0.03,0.3,0.96,0.2,R,9/10
218,PRIEST,"Come, children, let us hence; these gracious words",0.03,0.3,0.96,0.7,R,9/10
219,PRIEST,Forestall the very purpose of our suit.,0.03,0.3,0.96,0.2,R,9/10
220,PRIEST,And may the god who sent this oracle,0.03,0.3,0.96,0.2,R,9/10
221,PRIEST,Save us withal and rid us of this pest.,0.03,0.3,0.96,0.2,R,9/10
222,CHORUS,Sweet-voiced daughter of Zeus from thy gold-paved Pythian shrine,0.03,0.3,0.96,0.7,R,9/10
223,CHORUS,"Wafted to Thebes divine,",0.04,0.3,0.96,0.2,R,9/10
224,CHORUS,What dost thou bring me? My soul is racked and shivers with fear.,0.04,0.5,0.96,0.2,R,9/10
225,CHORUS,"Hast thou some pain unknown before,",0.04,0.3,0.96,0.2,R,9/10
226,CHORUS,Or with the circling years renewest a penance of yore?,0.04,0.5,0.96,0.2,R,9/10
227,CHORUS,"Offspring of golden Hope, thou voice immortal, O tell me.",0.04,0.3,0.96,0.2,R,9/10
228,CHORUS,"First on Athene I call; O Zeus-born goddess, defend!",0.04,0.45,0.96,0.2,R,9/10
229,CHORUS,"Goddess and sister, befriend,",0.04,0.3,0.96,0.2,R,9/10
230,CHORUS,"Artemis, Lady of Thebes, high-throned in the midst of our mart!",0.04,0.45,0.95,0.2,R,9/10
231,CHORUS,Lord of the death-winged dart!,0.14,0.45,0.95,0.2,R,8/10
232,CHORUS,Your threefold aid I crave,0.04,0.3,0.95,0.2,R,9/10
233,CHORUS,From death and ruin our city to save.,0.14,0.3,0.95,0.2,R,8/10
234,CHORUS,"If in the days of old when we nigh had perished, ye drave",0.04,0.3,0.95,0.2,R,9/10
235,CHORUS,"From our land the fiery plague, be near us now and defend us!",0.04,0.45,0.95,0.2,R,9/10
236,CHORUS,"Ah me, what countless woes are mine!",0.04,0.45,0.95,0.2,R,9/10
237,CHORUS,All our host is in decline;,0.04,0.3,0.95,0.2,R,9/10
238,CHORUS,Weaponless my spirit lies.,0.04,0.3,0.95,0.2,R,9/10
239,CHORUS,Earth her gracious fruits denies;,0.04,0.3,0.95,0.2,R,9/10
240,CHORUS,Women wail in barren throes;,0.04,0.3,0.95,0.2,R,9/10
241,CHORUS,"Life on life downstriken goes,",0.04,0.3,0.95,0.2,R,9/10
242,CHORUS,"Swifter than the wind bird’s flight,",0.04,0.3,0.95,0.2,R,9/10
243,CHORUS,"Swifter than the Fire-God’s might,",0.04,0.3,0.95,0.2,R,9/10
244,CHORUS,To the westering shores of Night.,0.04,0.3,0.95,0.2,R,9/10
245,CHORUS,Wasted thus by death on death,0.14,0.3,0.95,0.2,R,8/10
246,CHORUS,All our city perisheth.,0.04,0.3,0.95,0.2,R,9/10
247,CHORUS,Corpses spread infection round;,0.04,0.3,0.95,0.2,R,9/10
248,CHORUS,None to tend or mourn is found.,0.04,0.3,0.95,0.2,R,9/10
249,CHORUS,Wailing on the altar stair,0.04,0.3,0.95,0.2,R,9/10
250,CHORUS,Wives and grandams rend the air—,0.04,0.3,0.95,0.2,R,9/10
251,CHORUS,Long-drawn moans and piercing cries,0.04,0.3,0.95,0.2,R,9/10
252,CHORUS,Blent with prayers and litanies.,0.04,0.3,0.95,0.2,R,9/10
253,CHORUS,"Golden child of Zeus, O hear",0.04,0.3,0.95,0.2,R,9/10
254,CHORUS,Let thine angel face appear!,0.04,0.45,0.95,0.2,R,9/10
255,CHORUS,"And grant that Ares whose hot breath I feel,",0.04,0.3,0.95,0.2,R,9/10
256,CHORUS,Though without targe or steel,0.04,0.3,0.95,0.2,R,9/10
257,CHORUS,"He stalks, whose voice is as the battle shout,",0.04,0.3,0.95,0.2,R,9/10
258,CHORUS,"May turn in sudden rout,",0.04,0.3,0.95,0.2,R,9/10
259,CHORUS,"To the unharbored Thracian waters sped,",0.04,0.3,0.95,0.2,R,9/10
260,CHORUS,Or Amphitrite’s bed.,0.04,0.3,0.95,0.2,R,9/10
261,CHORUS,"For what night leaves undone,",0.04,0.3,0.95,0.2,R,9/10
262,CHORUS,Smit by the morrow’s sun,0.04,0.3,0.95,0.2,R,9/10
263,CHORUS,"Perisheth. Father Zeus, whose hand",0.04,0.3,0.95,0.2,R,9/10
264,CHORUS,"Doth wield the lightning brand,",0.04,0.3,0.95,0.2,R,9/10
265,CHORUS,"Slay him beneath thy levin bold, we pray,",0.04,0.3,0.95,0.2,R,9/10
266,CHORUS,"Slay him, O slay!",0.04,0.45,0.95,0.2,R,9/10
267,CHORUS,"O that thine arrows too, Lycean King,",0.04,0.3,0.95,0.2,R,9/10
268,CHORUS,"From that taut bow’s gold string,",0.04,0.3,0.95,0.2,R,9/10
269,CHORUS,"Might fly abroad, the champions of our rights;",0.04,0.3,0.95,0.2,R,9/10
270,CHORUS,"Yea, and the flashing lights",0.04,0.3,0.95,0.2,R,9/10
271,CHORUS,"Of Artemis, wherewith the huntress sweeps",0.04,0.3,0.95,0.2,R,9/10
272,CHORUS,Across the Lycian steeps.,0.04,0.3,0.95,0.2,R,9/10
273,CHORUS,"Thee too I call with golden-snooded hair,",0.04,0.3,0.95,0.2,R,9/10
274,CHORUS,"Whose name our land doth bear,",0.04,0.3,0.95,0.2,R,9/10
275,CHORUS,Bacchus to whom thy Maenads Evoe shout;,0.04,0.3,0.95,0.2,R,9/10
276,CHORUS,"Come with thy bright torch, rout,",0.04,0.3,0.95,0.2,R,9/10
277,CHORUS,"Blithe god whom we adore,",0.04,0.3,0.95,0.2,R,9/10
278,CHORUS,The god whom gods abhor.,0.04,0.3,0.95,0.2,R,9/10
279,OEDIPUS,"Ye pray; ’tis well, but would ye hear my words",0.04,0.3,0.95,0.7,R,9/10
280,OEDIPUS,"And heed them and apply the remedy,",0.04,0.3,0.95,0.2,R,9/10
281,OEDIPUS,Ye might perchance find comfort and relief.,0.04,0.3,0.94,0.2,R,9/10
282,OEDIPUS,"Mind you, I speak as one who comes a stranger",0.04,0.3,0.94,0.2,R,9/10
283,OEDIPUS,"To this report, no less than to the crime;",0.04,0.3,0.94,0.2,R,9/10
284,OEDIPUS,For how unaided could I track it far,0.04,0.3,0.94,0.2,R,9/10
285,OEDIPUS,Without a clue? Which lacking (for too late,0.04,0.5,0.94,0.2,R,9/10
286,OEDIPUS,Was I enrolled a citizen of Thebes),0.04,0.3,0.94,0.2,R,9/10
287,OEDIPUS,This proclamation I address to all:—,0.05,0.3,0.94,0.2,R,9/10
288,OEDIPUS,"Thebans, if any knows the man by whom",0.05,0.3,0.94,0.2,R,9/10
289,OEDIPUS,"Laius, son of Labdacus, was slain,",0.05,0.3,0.94,0.2,R,9/10
290,OEDIPUS,I summon him to make clean shrift to me.,0.05,0.3,0.94,0.2,R,9/10
291,OEDIPUS,"And if he shrinks, let him reflect that thus",0.05,0.3,0.94,0.2,R,9/10
292,OEDIPUS,Confessing he shall ’scape the capital charge;,0.05,0.3,0.94,0.2,R,9/10
293,OEDIPUS,For the worst penalty that shall befall him,0.05,0.3,0.94,0.2,R,9/10
294,OEDIPUS,Is banishment—unscathed he shall depart.,0.05,0.3,0.94,0.2,R,9/10
295,OEDIPUS,But if an alien from a foreign land,0.05,0.3,0.94,0.2,R,9/10
